id,title,link,address,salary,ex,level,location,job_name
1,Nhân Viên Kinh Doanh Phần Mềm / Thiết Kế Website,https://timviecnhanh.com/tuyen-nhan-vien-kinh-doanh-phan-mem-thiet-ke-website-tp-hcm-100184415.html,Trụ sở: Tầng 6 - Tòa nhà Ladeco - 266 Đội Cấn - Ba Đình - Hà Nội  Chi nhánh: Lầu 3 - Tòa nhà Lữ Gia - Số 70 Lữ Gia - Phường 15 - Quận 11 - TP Hồ Chí Minh,10 - 12 triệu,Chưa có kinh nghiệm,Trung cấp,Bình Dương,Kinh doanh/Công nghệ thông tin/Sinh viên/Mới tốt nghiệp/Thực tập
2,Nhân Viên Phòng Thiết Kế Đồ Họa - Đi Làm Ngay,https://timviecnhanh.com/tuyen-nhan-vien-phong-thiet-ke-do-hoa-di-lam-ngay-binh-duong-100171123.html,"BÌNH GIAO,THUẬN GIAO,THUẬN AN,BÌNH DƯƠNG",10 - 12 triệu,2 năm,Cao đẳng,Bình Dương,Thiết kế/Mỹ thuậtCông nghệ thông tinKiến trúc/Nội thất
3,Nhân Viên Kỹ Thuật,https://timviecnhanh.com/tuyen-nhan-vien-ky-thuat-binh-duong-100176882.html,"Ô 9 - 10, Lô B1, Đường D9, Khu dân cư Chánh Nghĩa, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Bình Dương",8 - 15 triệu,1 năm,Trung học,Bình Dương,Điện/Điện tử/Điện lạnh/Bưu chính viễn thông/Công nghệ thông tin
4,Nhân Viên Marketing,https://timviecnhanh.com/tuyen-nhan-vien-marketing-di-lam-ngay-tp-hcm-100182195.html,"23 đường Vĩnh Phú 21, Thuận An, Bình Dương",9 - 12 triệu,Dưới 1 năm,Cao đẳng,Bình Dương,Quảng cáo/Marketing/PR/Báo chí/Biên tập viên/Công nghệ thông tin
5,Nhân Viên Quản Trị Web,https://timviecnhanh.com/tuyen-nhan-vien-quan-tri-web-binh-duong-100186741.html,"D86 Khu dân cư Thới An, Đường Lê Thị Riêng, Phường Thới An, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",12 - 15 triệu,1 năm,Trung cấp,Bình Dương,Công nghệ thông tin/Chăm sóc khách hàng/Quảng cáo/Marketing/PR
6,Nhân Viên Vi Tính Co.Opmart Bình Dương,https://timviecnhanh.com/tuyen-nhan-vien-vi-tinh-co-opmart-binh-duong-binh-duong-100167299.html,"131 Điện Biên Phủ, Phường 15, Quận Bình Thạnh",5 - 7 triệu,Dưới 1 năm,Trung cấp,Bình Dương,Công nghệ thông tinSinh viên/Mới tốt nghiệp/Thực tậpKhác
7,Nhân Viên Digital Marketing,https://timviecnhanh.com/tuyen-nhan-vien-digital-marketing-binh-duong-100170112.html,"617-618/5  Thuận An Hòa , Phường An Phú, TP. Thuận An, T. Bình Dương.",10 - 12 triệu,2 năm,Cao đẳng,Bình DươngTP.HCM,Quảng cáo/Marketing/PRCông nghệ thông tinMôi trường/Xử lý chất thải
8,Nhân Viên IT Tại Nhà Máy,https://timviecnhanh.com/tuyen-nhan-vien-it-tai-nha-may-binh-duong-100162018.html,"195 Trương Văn Bang, KP1, P. Thạnh Mỹ Lợi, Quận 2, HCM",7 - 10 triệu,1 năm,Cao đẳng,Bình DươngTP.HCM,Công nghệ thông tin/Dược/Hóa chất/Sinh hóaThực phẩm
9,Sales IT Manager,https://timviecnhanh.com/tuyen-sales-it-manager-tp-hcm-100171828.html,"23 Trần Cao Vân , Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",40 - 50 triệu,2 năm,Đại học,TP.HCM,Kinh doanh/Công nghệ thông tin
10,".Net Developer (C# Asp.Net Core Web App , Vb.Net)",https://timviecnhanh.com/tuyen-net-developer-c-asp-net-core-web-app-vb-net-tp-hcm-100185909.html,"84 Bạch Đằng, P.02, Q.Tân Bình, Tp. Hồ Chí Minh",8 - 25 triệu,Không yêu cầu kinh nghiệm,Đại học,TP.HCM,Công nghệ thông tin/Sinh viên/Mới tốt nghiệp/Thực tập
